FinInstrmId,UndrlygFinInstrmId,FinInstrmNm,symbol,XpryDt,StrkPric,OptnTp,PrtdToTrad,MinLot,NewBrdLotQty,BidIntrvl,StartDt,EndDt,MtrtyDt,PdctStartDt,SrsId,AsstCd,UndrlygInstrmAsstClss,StockNm,SttlmMtd,BasePric,DelFlg,ExrcStartDt,ExrcEndDt,IssdCptl,MinPric,MaxPric,MktTpAndId,OffclCorpActnEvtId,AdmssnTp,IssePric,TradgStsNrmlMkt,ElgbltyNrmlMkt,TradgStsOddLotMkt,ElgbltyOddLotMkt,TradgStsSpotMkt,ElgbltySpotMkt,TradgStsAuctnMkt,ElgbltyAuctnMkt,MrgnPctg,MaxTradQty,WrngQty,AdmssnDt,RmvlDt,RadmssnDt,RcrdDt,NoDlvryStartDt,NoDlvryEndDt,SpclExDt,BookClsrStartDt,BookClsrEndDt,StockRcrdDt,TckrSelctn,OdOffclCorpActnEvtId,CdtRatg,Mtg,IntrstOrDvdd,RghtsOrBns,MinFillAllOrNn,AddtlInf,OptnExrcStyle,ExrcAllwd,ExrcRjctAllwd,PLAllwd,CorpAdjstmnt,UndrlygInstrm,DcmlstnPric,PartnIdr,UnqPdctIdr,CpctyGrpId,SctyId,Mltplr,SctyLngNm,UndrlygMkt,CtrctTp,FinInstrmPdctTpCd,FinInstrmTp,TradToTradInd,IndxFlg,Indx,IndxPrtcptnInd,ExtrnlDataSrcFlg,LastUpd,FinInstrmGnlAttrbts,AddtlUndrlygAttrbts,UndrlygAsst,OrgnlXpryDt,SgmtId,UnitOfMeasr,PricQtQty,PricRgTp,InitlMrgnTp,BuyInitlMrgnRate,MaxSnglTxnQty,MaxSnglTxnVal,AsstClss,NearMnthInstrmIdr,FarMnthInstrmIdr,PricNmrtr,Spcfctn,PricDnmtr,GnlNmrtr,GnlDnmtr,LotNmrtr,LotDnmtr,DcmlLctr,SttlmTp,ParVal,CorpActnRsn,FreeFltCptl,ISIN,SellInitlMrgnRate,RatgDtls,FinInstrmClssfctn,SpclMrgnTp,BuySpclMrgnRat,SellSpclMrgnRat,InitlMrgnSprdBnftFlg,InstrmEndDtTm,Ccy,PdctMnth,GrpId,MtchgCrit,SprdTp,ValMtd,SLBMElgblty,PricMtd,InstrmId,XpryPrcDt,MrgnInd,RglrBuyMrgn,RglrSellMrgn,SprdBnftAllwd,DlvryWght,DlvryUnit,Rsvd01,Rsvd02,Rsvd03,Rsvd04,Rsvd05,Rsvd06,Rsvd07,Rsvd08,Rsvd09,Rsvd10,Rsvd11,Rsvd12,Rsvd13,Rsvd14,Rsvd15
35000,26009,OPTIDX,BANKNIFTY,1443709800,4060000,CE,1,35,35,5,1438732800,0,1443709800,,XX,,,BANKNIFTY25SEP40600CE,C,1540365,N,1443657600,1443709800,1.00E+12,1378545,1702185,1,0,0,0,2,1,2,0,2,0,3,0,0,6.01E+02,0,1438732800,0,0,0,0,0,0,0,0,1438794936,15,1,            ,0,0,0,0,,E,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35030,26037,OPTIDX,FINNIFTY,1440858600,2275000,CE,1,65,65,5,1438732800,0,1440858600,,XX,,,FINNIFTY25AUG22750CE,C,381625,N,1440806400,1440858600,1.00E+12,302685,460565,1,0,0,0,2,1,2,0,2,0,3,0,0,1.80E+03,0,1438732800,0,0,0,0,0,0,0,0,1438794936,15,1,            ,0,0,0,0,,E,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35035,26000,OPTIDX,NIFTY,1440858600,1950000,CE,1,75,75,5,1433289600,0,1440858600,,XX,,,NIFTY25AUG19500CE,C,529940,N,1440806400,1440858600,1.00E+12,467170,592710,1,0,0,0,2,1,2,0,2,0,3,0,0,1.80E+03,0,1433289600,0,0,0,0,0,0,0,0,1438794937,15,1,            ,0,0,0,0,,E,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35040,26074,OPTIDX,MIDCPNIFTY,1440858600,1042500,CE,1,140,140,5,1438732800,0,1440858600,,XX,,,MIDCPNIFTY25AUG10425CE,C,247715,N,1440806400,1440858600,1.00E+12,200910,294520,1,0,0,0,2,1,2,0,2,0,3,0,0,2.80E+03,0,1438732800,0,0,0,0,0,0,0,0,1438794936,15,1,            ,0,0,0,0,,E,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35048,26013,OPTIDX,NIFTYNXT50,1440858600,5480000,CE,1,25,25,5,1433289600,0,1440858600,,XX,,,NIFTYNXT5025AUG54800CE,C,1233320,N,1440806400,1440858600,1.00E+12,991605,1475035,1,0,0,0,2,1,2,0,2,0,3,0,0,6.01E+02,0,1433289600,0,0,0,0,0,0,0,0,1438794938,15,1,            ,0,0,0,0,,E,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35105,13,OPTSTK,ABB,1440858600,200000,CE,1,125,125,5,1438819200,0,1440858600,,XX,,,ABB25AUG2000CE,P,310040,N,1440806400,1440858600,2.12E+08,277675,342405,1,0,0,0,2,1,2,0,2,0,3,0,0,3.75E+03,0,1438819200,0,0,0,0,0,0,0,0,1438794938,15,1,            ,0,2,0,0,,E,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35144,25,OPTSTK,ADANIENT,1440858600,180000,CE,1,300,300,5,1433289600,0,1440858600,,XX,,,ADANIENT25AUG1800CE,P,57270,N,1440806400,1440858600,1.15E+09,38145,76395,1,0,0,0,2,1,2,0,2,0,3,0,0,9.00E+03,0,1433289600,0,0,0,0,0,0,0,0,1438794939,15,1,            ,0,2,0,0,,E,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35166,11703,OPTSTK,ALKEM,1440858600,370000,CE,1,125,125,5,1433289600,0,1440858600,,XX,,,ALKEM25AUG3700CE,P,121705,N,1440806400,1440858600,1.20E+08,99675,143735,1,0,0,0,2,1,2,0,2,0,3,0,0,5.00E+03,0,1433289600,0,0,0,0,0,0,0,0,1438794939,15,1,            ,0,2,0,0,,E,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35187,3563,OPTSTK,ADANIGREEN,1443709800,48000,CE,1,600,600,5,1436313600,0,1443709800,,XX,,,ADANIGREEN25SEP480CE,P,51440,N,1443657600,1443709800,1.58E+09,41940,60940,1,0,0,0,2,1,2,0,2,0,3,0,0,2.40E+04,0,1436313600,0,0,0,0,0,0,0,0,1438794939,15,1,            ,2,0,0,0,,E,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35194,21614,OPTSTK,ABCAPITAL,1443709800,13000,CE,1,3100,3100,5,1438732800,0,1443709800,,XX,,,ABCAPITAL25SEP130CE,P,14970,N,1443657600,1443709800,2.61E+09,12970,16970,1,0,0,0,2,1,2,0,2,0,3,0,0,9.30E+04,0,1438732800,0,0,0,0,0,0,0,0,1438794938,15,1,            ,2,0,0,0,,E,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
