priority,symbol,identifier,open,dayHigh,dayLow,lastPrice,previousClose,change,pChange,ffmc,yearHigh,yearLow,totalTradedVolume,stockIndClosePrice,totalTradedValue,lastUpdateTime,nearWKH,nearWKL,perChange365d,perChange30d,date365dAgo,date30dAgo,chartTodayPath,chart30dPath,chart365dPath,Index
"1","NIFTY 50","NIFTY 50","22899","22941.3","22618.6","22679.4","22331.4","348","1.56","1038246166.63","26373.2","21743.65","517954448","0","411919703427.71","01-Apr-2026 16:00:00","14.005884761803646","-4.303555290855031","-2.1","-9.93","26-Mar-2025","24-Feb-2026","https://nsearchives.nseindia.com/today/NIFTY-50.svg","https://nsearchives.nseindia.com/30d/NIFTY-50.svg","https://nsearchives.nseindia.com/365d/NIFTY-50.svg","NIFTY 50"
"0","HDFCBANK","HDFCBANKEQN","743","755.9","739.1","744","731.55","12.45","1.7","11355627596708.7","1020.5","726.65","78862761","0","58793765580.72","","27.09456148946595","-2.387669441959681","-15.83","-16.19","01-Apr-2025","27-Feb-2026","https://nsearchives.nseindia.com/today/HDFCBANKEQN.svg","https://nsearchives.nseindia.com/30d/HDFCBANK-EQ.svg","https://nsearchives.nseindia.com/365d/HDFCBANK-EQ.svg","NIFTY 50"
"0","ICICIBANK","ICICIBANKEQN","1228.1","1234","1210","1213","1205.9","7.1","0.59","8649129471447.55","1500","1200.4","25472333","0","31065293156.81","","19.133333333333333","-1.0496501166277832","-8","-12.03","01-Apr-2025","27-Feb-2026","https://nsearchives.nseindia.com/today/ICICIBANKEQN.svg","https://nsearchives.nseindia.com/30d/ICICIBANK-EQ.svg","https://nsearchives.nseindia.com/365d/ICICIBANK-EQ.svg","NIFTY 50"
"0","RELIANCE","RELIANCEEQN","1384.2","1384.4","1362.9","1369.5","1343.9","25.6","1.9","9224161629794.56","1611.8","1114.85","14404619","0","19763281314.19","","15.03288249162427","-22.84163788850519","9.33","-1.75","01-Apr-2025","27-Feb-2026","https://nsearchives.nseindia.com/today/RELIANCEEQN.svg","https://nsearchives.nseindia.com/30d/RELIANCE-EQ.svg","https://nsearchives.nseindia.com/365d/RELIANCE-EQ.svg","NIFTY 50"
"0","BHARTIARTL","BHARTIARTLEQN","1811","1817.3","1776.5","1786.7","1782.4","4.3","0.24","5468694388566.78","2174.5","1669.4","10694662","0","19167614916.12","","17.83398482409749","-7.026476578411403","3.63","-4.93","01-Apr-2025","27-Feb-2026","https://nsearchives.nseindia.com/today/BHARTIARTLEQN.svg","https://nsearchives.nseindia.com/30d/BHARTIARTL-EQ.svg","https://nsearchives.nseindia.com/365d/BHARTIARTL-EQ.svg","NIFTY 50"
"0","INDIGO","INDIGOEQN","4063.8","4332.7","4063.8","4183","3943.5","239.5","6.07","943603505319.36","6232.5","3895.2","4361610","0","18424225729.8","","32.88407541115122","-7.388580817416313","-16.81","-13.35","01-Apr-2025","27-Feb-2026","https://nsearchives.nseindia.com/today/INDIGOEQN.svg","https://nsearchives.nseindia.com/30d/INDIGO-EQ.svg","https://nsearchives.nseindia.com/365d/INDIGO-EQ.svg","NIFTY 50"
"0","SBIN","SBINEQN","1008","1031","998.45","1018","979.4","38.6","3.94","4212599599658.38","1234.7","730","17424479","0","17671383867.43","","17.550822062039366","-39.45205479452055","31.92","-15.29","01-Apr-2025","27-Feb-2026","https://nsearchives.nseindia.com/today/SBINEQN.svg","https://nsearchives.nseindia.com/30d/SBIN-EQ.svg","https://nsearchives.nseindia.com/365d/SBIN-EQ.svg","NIFTY 50"
"0","LT","LTEQN","3655","3682.9","3597.3","3621","3504.1","116.9","3.34","4239564537672.9","4440","2965.3","4099786","0","14883166130.78","","18.445945945945947","-22.112433817826183","5.36","-15.36","01-Apr-2025","27-Feb-2026","https://nsearchives.nseindia.com/today/LTEQN.svg","https://nsearchives.nseindia.com/30d/LT-EQ.svg","https://nsearchives.nseindia.com/365d/LT-EQ.svg","NIFTY 50"
"0","BAJFINANCE","BAJFINANCEEQN","832.8","842.05","814.8","819","801.55","17.45","2.18","2184827901357.74","1102.5","787.9","15094026","0","12522003969.6","","25.714285714285715","-3.9472014215001936","-5.84","-17.76","01-Apr-2025","27-Feb-2026","https://nsearchives.nseindia.com/today/BAJFINANCEEQN.svg","https://nsearchives.nseindia.com/30d/BAJFINANCE-EQ.svg","https://nsearchives.nseindia.com/365d/BAJFINANCE-EQ.svg","NIFTY 50"
"0","M&M","M&MEQN","3079.9","3079.9","3010.1","3021","2954.7","66.3","2.24","2691999055041.61","3839.9","2425","3522875","0","10723631500","","21.326076199901042","-24.577319587628867","14.52","-11.08","01-Apr-2025","27-Feb-2026","https://nsearchives.nseindia.com/today/M&MEQN.svg","https://nsearchives.nseindia.com/30d/M&M-EQ.svg","https://nsearchives.nseindia.com/365d/M&M-EQ.svg","NIFTY 50"
