TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
31-07-2025,31-07-2025,CM,NSE,STK,19078,IN0020200104,SGBJUN28,GB,,,,,2.5%GOLDBONDS2028SR-III,9934,9935,9842.08,9900,9900,9915,,9900,,,208,2061676.58,25,F1,1,,,,,
31-07-2025,31-07-2025,CM,NSE,STK,1342,IN0020200286,SGBN28VIII,GB,,,,,2.5%GOLDBONDS2028SR-VIII,9970,9970,9879,9950,9950,9977,,9950,,,118,1172909.45,25,F1,1,,,,,
31-07-2025,31-07-2025,CM,NSE,STK,3742,IN0020210053,SGBMAY29I,GB,,,,,2.5%GOLDBONDS2029SR-I,9925.16,9938.99,9872,9938.67,9938.99,9925.16,,9938.67,,,429,4257564.65,64,F1,1,,,,,
31-07-2025,31-07-2025,CM,NSE,STK,3743,IN0020210061,SGBJUN29II,GB,,,,,2.5%GOLDBONDS2029SR-II,9930,9930,9900,9914.56,9929.9,9930,,9914.56,,,151,1497515.77,31,F1,1,,,,,
31-07-2025,31-07-2025,CM,NSE,STK,3800,IN0020210087,SGBJU29III,GB,,,,,2.5%GOLDBONDS2029SR-III,9870.5,9938,9867,9900,9880.02,9940,,9900,,,115,1140283.15,30,F1,1,,,,,
31-07-2025,31-07-2025,CM,NSE,STK,5575,IN0020210145,SGBSEP29VI,GB,,,,,2.5%GOLDBONDS2029SR-VI,9957.99,9965,9917.01,9932.95,9930,9958.31,,9932.95,,,310,3083020.1,40,F1,1,,,,,
31-07-2025,31-07-2025,CM,NSE,STK,6518,IN0020210178,SGBNV29VII,GB,,,,,2.5%GOLDBONDS2029SR-VII,9936,10200,9901,9919,9915.01,9936,,9919,,,121,1208459.21,29,F1,1,,,,,
31-07-2025,31-07-2025,CM,NSE,STK,250,IN0020170059,SGBOCT25,GB,,,,,2.50% GOLDBONDS2025SR-III,9942,9950,9942,9945.11,9950,9881,,9945.11,,,18,179012,3,F1,1,,,,,
31-07-2025,31-07-2025,CM,NSE,STK,304,IN0020170067,SGBOCT25IV,GB,,,,,2.50% GOLDBONDS2025SR-IV,9925,9925,9871.01,9921,9921,9949.75,,9921,,,13,128793.04,4,F1,1,,,,,
31-07-2025,31-07-2025,CM,NSE,STK,355,IN0020170075,SGBOCT25V,GB,,,,,2.50% GOLDBONDS2025SR-V,9910,9949.99,9900,9925.49,9924.99,9900,,9925.49,,,19,188612.85,7,F1,1,,,,,
31-07-2025,31-07-2025,CM,NSE,STK,398,IN0020170083,SGBNOV25VI,GB,,,,,2.50% GOLDBONDS2025SR-VI,9904.02,9904.02,9904.02,9904.02,9904.02,9904.02,,9904.02,,,10,99040.2,1,F1,1,,,,,
31-07-2025,31-07-2025,CM,NSE,STK,458,IN0020170091,SGBNOV25,GB,,,,,2.50% GOLDBONDS2025SR-VII,9885,9975,9885,9950,9950,9880.36,,9950,,,13,128930,4,F1,1,,,,,
31-07-2025,31-07-2025,CM,NSE,STK,540,IN0020170117,SGBNOV25IX,GB,,,,,2.50%GOLDBONDS 2025SR-IX,9860.28,9900,9860.28,9900,9900,9820.01,,9900,,,11,108860.28,3,F1,1,,,,,
31-07-2025,31-07-2025,CM,NSE,STK,497,IN0020170109,SGBNOV258,GB,,,,,2.50%GOLDBONDS2025SR-VIII,9840.12,9905,9840.12,9905,9905,9854.26,,9905,,,2,19745.12,2,F1,1,,,,,
31-07-2025,31-07-2025,CM,NSE,STK,2891,IN0020180033,SGBMAY26,GB,,,,,2.50%GOLDBONDS2026SR-I,9900,10000,9900,10000,10000,9992.67,,10000,,,111,1107915.78,12,F1,1,,,,,
31-07-2025,31-07-2025,CM,NSE,STK,5960,IN0020180249,SGBOCT26,GB,,,,,2.50%GOLDBONDS2026SR-II,9999,10001.5,9957,10001.5,10001.5,10000,,10001.5,,,52,518755,6,F1,1,,,,,
31-07-2025,31-07-2025,CM,NSE,STK,6355,IN0020180314,SGBNOV26,GB,,,,,2.50%GOLDBONDS2026SR-III,9950,9999,9950,9980.01,9980.01,9999.99,,9980.01,,,22,219129.06,5,F1,1,,,,,
31-07-2025,31-07-2025,CM,NSE,STK,7654,IN0020180389,SGBDEC26,GB,,,,,2.50%GOLDBONDS2026SR-IV,9960,9999,9960,9999,9999,9990,,9999,,,2,19959,2,F1,1,,,,,
31-07-2025,31-07-2025,CM,NSE,STK,945,IN0020170166,SGBJAN26,GB,,,,,2.50%GOLDBONDS2026SR-XIV,9955.01,9998.99,9955.01,9998.99,9998.99,9981,,9998.99,,,3,29952.99,2,F1,1,,,,,
