priority,symbol,identifier,open,dayHigh,dayLow,lastPrice,previousClose,change,pChange,ffmc,yearHigh,yearLow,totalTradedVolume,stockIndClosePrice,totalTradedValue,lastUpdateTime,nearWKH,nearWKL,perChange365d,perChange30d,date365dAgo,date30dAgo,chartTodayPath,chart30dPath,chart365dPath,Index
"1","NIFTY 50","NIFTY 50","22878.45","23057.3","22624.2","22912.4","22512.65","399.75","1.78","1047282195.62","26373.2","21743.65","538098322","0","433847697905.95","24-Mar-2026 16:00:00","13.122412145663018","-5.375132509951181","-3.15","-9.88","21-Mar-2025","20-Feb-2026","https://nsearchives.nseindia.com/today/NIFTY-50.svg","https://nsearchives.nseindia.com/30d/NIFTY-50.svg","https://nsearchives.nseindia.com/365d/NIFTY-50.svg","NIFTY 50"
"0","HDFCBANK","HDFCBANKEQN","755","772.75","747.7","766.5","744.15","22.35","3","11698002416836.12","1020.5","741.05","61269986","0","46665059437.18","","24.889759921607055","-3.4343161729977796","-14.83","-15.82","24-Mar-2025","24-Feb-2026","https://nsearchives.nseindia.com/today/HDFCBANKEQN.svg","https://nsearchives.nseindia.com/30d/HDFCBANK-EQ.svg","https://nsearchives.nseindia.com/365d/HDFCBANK-EQ.svg","NIFTY 50"
"0","SBIN","SBINEQN","1055.2","1059","1020","1038","1031.9","6.1","0.59","4294739081002.98","1234.7","730","30416734","0","31486794702.12","","15.930995383493968","-42.19178082191781","32.94","-15.15","24-Mar-2025","24-Feb-2026","https://nsearchives.nseindia.com/today/SBINEQN.svg","https://nsearchives.nseindia.com/30d/SBIN-EQ.svg","https://nsearchives.nseindia.com/365d/SBIN-EQ.svg","NIFTY 50"
"0","RELIANCE","RELIANCEEQN","1420","1422.4","1406.6","1414","1407.8","6.2","0.44","9520711551706.17","1611.8","1114.85","18620893","0","26315045987.6","","12.271994043926043","-26.833206260931973","8.59","-1.04","24-Mar-2025","24-Feb-2026","https://nsearchives.nseindia.com/today/RELIANCEEQN.svg","https://nsearchives.nseindia.com/30d/RELIANCE-EQ.svg","https://nsearchives.nseindia.com/365d/RELIANCE-EQ.svg","NIFTY 50"
"0","ICICIBANK","ICICIBANKEQN","1237.1","1253.9","1223.7","1252.6","1222.7","29.9","2.45","8932874293398.28","1500","1218.1","20617782","0","25617181779.36","","16.49333333333334","-2.8322797799852233","-7.77","-9.55","24-Mar-2025","24-Feb-2026","https://nsearchives.nseindia.com/today/ICICIBANKEQN.svg","https://nsearchives.nseindia.com/30d/ICICIBANK-EQ.svg","https://nsearchives.nseindia.com/365d/ICICIBANK-EQ.svg","NIFTY 50"
"0","LT","LTEQN","3440","3547.1","3390.5","3515.1","3342.4","172.7","5.17","4116715116482.8","4440","2965.3","6037848","0","21001265562.96","","20.831081081081084","-18.541125687114278","0.95","-17.47","24-Mar-2025","24-Feb-2026","https://nsearchives.nseindia.com/today/LTEQN.svg","https://nsearchives.nseindia.com/30d/LT-EQ.svg","https://nsearchives.nseindia.com/365d/LT-EQ.svg","NIFTY 50"
"0","ADANIENT","ADANIENTEQN","1892.7","1893","1813.7","1825.2","1833","-7.8","-0.43","474067451183.76","2616.5","1813.7","11211381","0","20519069506.2","","30.242690617236768","-0.6340629652092408","-20.63","-16.39","24-Mar-2025","24-Feb-2026","https://nsearchives.nseindia.com/today/ADANIENTEQN.svg","https://nsearchives.nseindia.com/30d/ADANIENT-EQ.svg","https://nsearchives.nseindia.com/365d/ADANIENT-EQ.svg","NIFTY 50"
"0","INFY","INFYEQN","1269","1297","1251","1280","1256.8","23.2","1.85","4471981667168.01","1728","1215.1","13613495","0","17443924088.15","","25.925925925925927","-5.341124187309695","-19.64","0.35","24-Mar-2025","24-Feb-2026","https://nsearchives.nseindia.com/today/INFYEQN.svg","https://nsearchives.nseindia.com/30d/INFY-EQ.svg","https://nsearchives.nseindia.com/365d/INFY-EQ.svg","NIFTY 50"
"0","BAJFINANCE","BAJFINANCEEQN","830","854","817.6","853","812.6","40.4","4.97","2258485665509.7","1102.5","787.9","18828248","0","15711796391.04","","22.630385487528343","-8.262469856580786","-6.16","-16.66","24-Mar-2025","24-Feb-2026","https://nsearchives.nseindia.com/today/BAJFINANCEEQN.svg","https://nsearchives.nseindia.com/30d/BAJFINANCE-EQ.svg","https://nsearchives.nseindia.com/365d/BAJFINANCE-EQ.svg","NIFTY 50"
"0","ETERNAL","ETERNALEQN","231","240.29","230.81","238.05","226.96","11.09","4.89","1705554580702.43","368.45","194.8","63944923","0","15061587163.42","","35.39150495318225","-22.202258726899384","6.84","-6.28","24-Mar-2025","24-Feb-2026","https://nsearchives.nseindia.com/today/ETERNALEQN.svg","https://nsearchives.nseindia.com/30d/ETERNAL-EQ.svg","https://nsearchives.nseindia.com/365d/ETERNAL-EQ.svg","NIFTY 50"
"0","BHARTIARTL","BHARTIARTLEQN","1816.3","1826.8","1781","1812.5","1795.9","16.6","0.92","5381730140825.11","2174.5","1660","7535860","0","13572385294.4","","16.647505173603125","-9.186746987951807","5.45","-6.62","24-Mar-2025","24-Feb-2026","https://nsearchives.nseindia.com/today/BHARTIARTLEQN.svg","https://nsearchives.nseindia.com/30d/BHARTIARTL-EQ.svg","https://nsearchives.nseindia.com/365d/BHARTIARTL-EQ.svg","NIFTY 50"
"0","SHRIRAMFIN","SHRIRAMFINEQN","907","931.9","896.2","907.1","877.7","29.4","3.35","1267015772687.22","1108","566.5","13359073","0","12159294653.87","","18.13176895306859","-60.12356575463372","33.01","-14.56","24-Mar-2025","24-Feb-2026","https://nsearchives.nseindia.com/today/SHRIRAMFINEQN.svg","https://nsearchives.nseindia.com/30d/SHRIRAMFIN-EQ.svg","https://nsearchives.nseindia.com/365d/SHRIRAMFIN-EQ.svg","NIFTY 50"
"0","M&M","M&MEQN","3030","3057.3","2965.9","3041","2955.8","85.2","2.88","2707109575526.9","3839.9","2425","3944279","0","11896694877.01","","20.80522930284643","-25.4020618556701","9.6","-11.42","24-Mar-2025","24-Feb-2026","https://nsearchives.nseindia.com/today/M&MEQN.svg","https://nsearchives.nseindia.com/30d/M&M-EQ.svg","https://nsearchives.nseindia.com/365d/M&M-EQ.svg","NIFTY 50"
"0","AXISBANK","AXISBANKEQN","1187","1202.8","1169.6","1194.8","1170.6","24.2","2.07","3418325214228.89","1418.3","1032.35","8274701","0","9825876449.46","","15.758302192765989","-15.735942267641793","8.83","-13.89","24-Mar-2025","24-Feb-2026","https://nsearchives.nseindia.com/today/AXISBANKEQN.svg","https://nsearchives.nseindia.com/30d/AXISBANK-EQ.svg","https://nsearchives.nseindia.com/365d/AXISBANK-EQ.svg","NIFTY 50"
"0","ITC","ITCEQN","295.95","296","288.75","292.3","290.45","1.85","0.64","2809144108209.72","444.2","288.75","33335721","0","9692694237.96","","34.196307969383156","-1.2294372294372333","-28.86","-9.64","24-Mar-2025","24-Feb-2026","https://nsearchives.nseindia.com/today/ITCEQN.svg","https://nsearchives.nseindia.com/30d/ITC-EQ.svg","https://nsearchives.nseindia.com/365d/ITC-EQ.svg","NIFTY 50"
"0","COALINDIA","COALINDIAEQN","463","463","439","441.6","455.25","-13.65","-3","999910973483.35","476","356","20320746","0","9014892547.98","","7.226890756302517","-24.044943820224724","8.77","2.47","24-Mar-2025","24-Feb-2026","https://nsearchives.nseindia.com/today/COALINDIAEQN.svg","https://nsearchives.nseindia.com/30d/COALINDIA-EQ.svg","https://nsearchives.nseindia.com/365d/COALINDIA-EQ.svg","NIFTY 50"
"0","INDIGO","INDIGOEQN","4065","4168.4","4021","4162","3945.3","216.7","5.49","938378761205.5","6232.5","3895.2","2152981","0","8844187590.28","","33.22101885278781","-6.849455740398444","-16.26","-14.19","24-Mar-2025","24-Feb-2026","https://nsearchives.nseindia.com/today/INDIGOEQN.svg","https://nsearchives.nseindia.com/30d/INDIGO-EQ.svg","https://nsearchives.nseindia.com/365d/INDIGO-EQ.svg","NIFTY 50"
"0","TCS","TCSEQN","2404.1","2435.4","2379.1","2400.8","2383.8","17","0.71","2444786464157.73","3710","2348","3420182","0","8227692424.66","","35.28840970350404","-2.2487223168654253","-33.84","-6.72","24-Mar-2025","24-Feb-2026","https://nsearchives.nseindia.com/today/TCSEQN.svg","https://nsearchives.nseindia.com/30d/TCS-EQ.svg","https://nsearchives.nseindia.com/365d/TCS-EQ.svg","NIFTY 50"
"0","KOTAKBANK","KOTAKBANKEQN","363","370.95","361.4","368.5","356.55","11.95","3.35","2702392137488.11","460.38","355.25","19990983","0","7331293195.59","","19.957426473782526","-3.729767769176636","-15.33","-13.84","24-Mar-2025","24-Feb-2026","https://nsearchives.nseindia.com/today/KOTAKBANKEQN.svg","https://nsearchives.nseindia.com/30d/KOTAKBANK-EQ.svg","https://nsearchives.nseindia.com/365d/KOTAKBANK-EQ.svg","NIFTY 50"
"0","MARUTI","MARUTIEQN","12600","12650","12332","12490","12355","135","1.09","1634382628386.46","17370","11059.45","583568","0","7278446837.76","","28.0944156591825","-12.935091708900528","4.76","-16.32","24-Mar-2025","24-Feb-2026","https://nsearchives.nseindia.com/today/MARUTIEQN.svg","https://nsearchives.nseindia.com/30d/MARUTI-EQ.svg","https://nsearchives.nseindia.com/365d/MARUTI-EQ.svg","NIFTY 50"
"0","POWERGRID","POWERGRIDEQN","309","309","292.4","298","302.1","-4.1","-1.36","1346017796919.81","322","250","24123621","0","7186426695.9","","7.453416149068323","-19.2","2.11","-2.23","24-Mar-2025","24-Feb-2026","https://nsearchives.nseindia.com/today/POWERGRIDEQN.svg","https://nsearchives.nseindia.com/30d/POWERGRID-EQ.svg","https://nsearchives.nseindia.com/365d/POWERGRID-EQ.svg","NIFTY 50"
"0","TATASTEEL","TATASTEELEQN","192","192.19","187.78","191.2","187.17","4.03","2.15","1575982418322.27","216.45","125.3","34321983","0","6522549649.32","","11.665511665511666","-52.593774940143646","20.69","-8.57","24-Mar-2025","24-Feb-2026","https://nsearchives.nseindia.com/today/TATASTEELEQN.svg","https://nsearchives.nseindia.com/30d/TATASTEEL-EQ.svg","https://nsearchives.nseindia.com/365d/TATASTEEL-EQ.svg","NIFTY 50"
"0","BEL","BELEQN","412.5","417.45","408.75","415","405.5","9.5","2.34","1482281483007.49","473.45","256.2","14642804","0","6056410162.44","","12.34554863237934","-61.98282591725216","37.37","-4.61","24-Mar-2025","24-Feb-2026","https://nsearchives.nseindia.com/today/BELEQN.svg","https://nsearchives.nseindia.com/30d/BEL-EQ.svg","https://nsearchives.nseindia.com/365d/BEL-EQ.svg","NIFTY 50"
"0","GRASIM","GRASIMEQN","2565.5","2600.7","2523","2565","2531.1","33.9","1.34","977152527438.55","2979","2465.5","2303237","0","5891726310.74","","13.897280966767372","-4.03569255729061","2.06","-10.92","24-Mar-2025","24-Feb-2026","https://nsearchives.nseindia.com/today/GRASIMEQN.svg","https://nsearchives.nseindia.com/30d/GRASIM-EQ.svg","https://nsearchives.nseindia.com/365d/GRASIM-EQ.svg","NIFTY 50"
"0","TECHM","TECHMEQN","1414","1439.2","1400","1433","1384","49","3.54","907265056585.31","1854","1209.4","3988700","0","5671771852","","22.707659115426107","-18.48850669753596","-1.76","6.51","24-Mar-2025","24-Feb-2026","https://nsearchives.nseindia.com/today/TECHMEQN.svg","https://nsearchives.nseindia.com/30d/TECHM-EQ.svg","https://nsearchives.nseindia.com/365d/TECHM-EQ.svg","NIFTY 50"
"0","TITAN","TITANEQN","3950.3","3985","3843","3918.9","3853.1","65.8","1.71","1613001289475.41","4378.4","2925","1300547","0","5080365762.51","","10.494701260734505","-33.97948717948719","27.27","-8.75","24-Mar-2025","24-Feb-2026","https://nsearchives.nseindia.com/today/TITANEQN.svg","https://nsearchives.nseindia.com/30d/TITAN-EQ.svg","https://nsearchives.nseindia.com/365d/TITAN-EQ.svg","NIFTY 50"
"0","ONGC","ONGCEQN","268.55","273.3","266.85","268.5","265.45","3.05","1.15","1040080194160.58","293","205","18567283","0","5014280446.98","","8.361774744027304","-30.975609756097562","10.12","-2.89","24-Mar-2025","24-Feb-2026","https://nsearchives.nseindia.com/today/ONGCEQN.svg","https://nsearchives.nseindia.com/30d/ONGC-EQ.svg","https://nsearchives.nseindia.com/365d/ONGC-EQ.svg","NIFTY 50"
"0","EICHERMOT","EICHERMOTEQN","6800","6966.5","6753","6867.5","6681.5","186","2.78","942693126072.96","8230","4999.95","723633","0","4976995811.07","","16.555285540704737","-37.35137351373515","26.61","-13.39","24-Mar-2025","24-Feb-2026","https://nsearchives.nseindia.com/today/EICHERMOTEQN.svg","https://nsearchives.nseindia.com/30d/EICHERMOT-EQ.svg","https://nsearchives.nseindia.com/365d/EICHERMOT-EQ.svg","NIFTY 50"
"0","HCLTECH","HCLTECHEQN","1380","1394","1360","1375","1358.6","16.4","1.21","1446706761522.56","1780.1","1297.7","3555664","0","4899918331.84","","22.757148474804783","-5.956692610002308","-14.28","2.67","24-Mar-2025","24-Feb-2026","https://nsearchives.nseindia.com/today/HCLTECHEQN.svg","https://nsearchives.nseindia.com/30d/HCLTECH-EQ.svg","https://nsearchives.nseindia.com/365d/HCLTECH-EQ.svg","NIFTY 50"
